Epsilon Discount LearningLength TestLength L1Factor NumberOfFeatures MeanDataLikelihood MeanReward
0.1 0.9 151 1000 0.0355271 20 0.652326 0.002
0.1 0.9 151 1000 0.0444089 14 0.473471 0.018
0.1 0.9 188 1000 0 176 0.9121 0.035
0.1 0.9 188 1000 0.00125 77 0.903403 0.15
0.1 0.9 188 1000 0.0015625 68 0.902951 0.209
0.1 0.9 188 1000 0.00195312 64 0.900812 0.204
0.1 0.9 188 1000 0.00244141 55 0.895144 0.209
0.1 0.9 188 1000 0.00305176 51 0.851362 0.206
0.1 0.9 188 1000 0.0038147 45 0.811687 0.217
0.1 0.9 188 1000 0.00476837 41 0.804086 0.214
0.1 0.9 188 1000 0.00596046 36 0.793904 0.216
0.1 0.9 188 1000 0.00745058 28 0.713594 0
0.1 0.9 188 1000 0.00931323 27 0.70908 0.004
0.1 0.9 188 1000 0.0116415 25 0.70277 0.004
0.1 0.9 188 1000 0.0145519 25 0.702759 0.013
0.1 0.9 188 1000 0.0181899 24 0.702788 0.002
0.1 0.9 188 1000 0.0227374 23 0.694358 0
0.1 0.9 188 1000 0.0284217 22 0.694333 0
0.1 0.9 188 1000 0.0355271 19 0.653258 0.001
0.1 0.9 188 1000 0.0444089 16 0.527876 0.007
0.1 0.9 235 1000 0 176 0.925961 0.213
0.1 0.9 235 1000 0.00125 63 0.917079 0.208
0.1 0.9 235 1000 0.0015625 62 0.917208 0.159
0.1 0.9 235 1000 0.00195312 50 0.905834 0.207
0.1 0.9 235 1000 0.00244141 46 0.903545 0.21
0.1 0.9 235 1000 0.00305176 43 0.901931 0.213
0.1 0.9 235 1000 0.0038147 38 0.882406 0.212
0.1 0.9 235 1000 0.00476837 35 0.879675 0.208
0.1 0.9 235 1000 0.00596046 31 0.843013 0.002
0.1 0.9 235 1000 0.00745058 28 0.825104 0.006
0.1 0.9 235 1000 0.00931323 26 0.803134 0.001
0.1 0.9 235 1000 0.0116415 26 0.803168 0.002
0.1 0.9 235 1000 0.0145519 26 0.803174 0.001
0.1 0.9 235 1000 0.0181899 26 0.803177 0.006
0.1 0.9 235 1000 0.0227374 26 0.803147 0.007
0.1 0.9 235 1000 0.0284217 26 0.803094 0.002
0.1 0.9 235 1000 0.0355271 23 0.729532 0.005
0.1 0.9 235 1000 0.0444089 19 0.590451 0
0.1 0.9 293 1000 0 176 0.759837 0.164
0.1 0.9 293 1000 0.00125 75 0.749822 0.173
0.1 0.9 293 1000 0.0015625 69 0.747175 0.181
0.1 0.9 293 1000 0.00195312 62 0.742742 0.179
0.1 0.9 293 1000 0.00244141 61 0.736848 0.165
0.1 0.9 293 1000 0.00305176 55 0.725809 0.212
0.1 0.9 293 1000 0.0038147 52 0.720287 0.206
0.1 0.9 293 1000 0.00476837 50 0.719532 0.209
0.1 0.9 293 1000 0.00596046 44 0.705244 0.213
0.1 0.9 293 1000 0.00745058 42 0.701501 0.214
0.1 0.9 293 1000 0.00931323 34 0.694941 0.222
0.1 0.9 293 1000 0.0116415 31 0.679618 0.214
0.1 0.9 293 1000 0.0145519 29 0.632637 0.002
0.1 0.9 293 1000 0.0181899 26 0.605461 0
0.1 0.9 293 1000 0.0227374 26 0.60548 0.006
0.1 0.9 293 1000 0.0284217 26 0.60547 0
0.1 0.9 293 1000 0.0355271 22 0.565175 0.003
0.1 0.9 293 1000 0.0444089 13 0.411586 0.013
0.1 0.9 366 1000 0 176 0.782176 0.206
0.1 0.9 366 1000 0.00125 82 0.777259 0.214
0.1 0.9 366 1000 0.0015625 75 0.775166 0.214
0.1 0.9 366 1000 0.00195312 68 0.765208 0.213
0.1 0.9 366 1000 0.00244141 66 0.76064 0.214
0.1 0.9 366 1000 0.00305176 58 0.755333 0.221
0.1 0.9 366 1000 0.0038147 58 0.755343 0.212
0.1 0.9 366 1000 0.00476837 51 0.741863 0.218
0.1 0.9 366 1000 0.00596046 42 0.729825 0.212
0.1 0.9 366 1000 0.00745058 37 0.715638 0.215
0.1 0.9 366 1000 0.00931323 34 0.709541 0.224
0.1 0.9 366 1000 0.0116415 30 0.665195 0.004
0.1 0.9 366 1000 0.0145519 28 0.659842 0.001
0.1 0.9 366 1000 0.0181899 26 0.644039 0.007
0.1 0.9 366 1000 0.0227374 26 0.644034 0.002
0.1 0.9 366 1000 0.0284217 26 0.644035 0.002
0.1 0.9 366 1000 0.0355271 24 0.60413 0.001
0.1 0.9 366 1000 0.0444089 15 0.424753 0
0.1 0.9 457 1000 0 176 0.781348 0.212
0.1 0.9 457 1000 0.00125 71 0.777641 0.22
0.1 0.9 457 1000 0.0015625 61 0.77515 0.213
0.1 0.9 457 1000 0.00195312 58 0.773253 0.218
0.1 0.9 457 1000 0.00244141 55 0.772422 0.215
0.1 0.9 457 1000 0.00305176 48 0.766382 0.212
0.1 0.9 457 1000 0.0038147 44 0.76327 0.222
0.1 0.9 457 1000 0.00476837 37 0.757906 0.215
0.1 0.9 457 1000 0.00596046 33 0.756396 0.212
0.1 0.9 457 1000 0.00745058 31 0.755374 0.221
0.1 0.9 457 1000 0.00931323 28 0.704471 0.001
0.1 0.9 457 1000 0.0116415 28 0.704488 0
0.1 0.9 457 1000 0.0145519 28 0.70447 0.003
0.1 0.9 457 1000 0.0181899 28 0.704458 0.001
0.1 0.9 457 1000 0.0227374 28 0.704487 0.007
0.1 0.9 457 1000 0.0284217 26 0.70172 0.001
0.1 0.9 457 1000 0.0355271 25 0.701738 0
0.1 0.9 457 1000 0.0444089 17 0.482987 0
0.1 0.9 571 1000 0 176 0.723305 0.204
0.1 0.9 571 1000 0.00125 73 0.72095 0.216
0.1 0.9 571 1000 0.0015625 66 0.717773 0.22
0.1 0.9 571 1000 0.00195312 59 0.715874 0.214
0.1 0.9 571 1000 0.00244141 52 0.713222 0.216
0.1 0.9 571 1000 0.00305176 48 0.711664 0.217
0.1 0.9 571 1000 0.0038147 45 0.710673 0.22
0.1 0.9 571 1000 0.00476837 43 0.710002 0.219
0.1 0.9 571 1000 0.00596046 36 0.70641 0.213
0.1 0.9 571 1000 0.00745058 34 0.696868 0.219
0.1 0.9 571 1000 0.00931323 31 0.695754 0.213
0.1 0.9 571 1000 0.0116415 31 0.695733 0.218
0.1 0.9 571 1000 0.0145519 26 0.633532 0
0.1 0.9 571 1000 0.0181899 26 0.633521 0.002
0.1 0.9 571 1000 0.0227374 26 0.63353 0.003
0.1 0.9 571 1000 0.0284217 26 0.633528 0.013
0.1 0.9 571 1000 0.0355271 21 0.584165 0.006
0.1 0.9 571 1000 0.0444089 13 0.423893 0.011
0.1 0.9 713 1000 0 176 0.759189 0.204
0.1 0.9 713 1000 0.00125 67 0.756839 0.214
0.1 0.9 713 1000 0.0015625 59 0.755233 0.218
0.1 0.9 713 1000 0.00195312 57 0.754942 0.216
0.1 0.9 713 1000 0.00244141 53 0.751511 0.219
0.1 0.9 713 1000 0.00305176 49 0.750259 0.219
0.1 0.9 713 1000 0.0038147 46 0.749476 0.215
0.1 0.9 713 1000 0.00476837 42 0.743568 0.217
0.1 0.9 713 1000 0.00596046 40 0.743552 0.215
0.1 0.9 713 1000 0.00745058 36 0.73994 0.218
0.1 0.9 713 1000 0.00931323 35 0.739069 0.217
0.1 0.9 713 1000 0.0116415 28 0.68087 0.002
0.1 0.9 713 1000 0.0145519 26 0.678639 0.001
0.1 0.9 713 1000 0.0181899 26 0.678645 0.002
0.1 0.9 713 1000 0.0227374 26 0.678631 0
0.1 0.9 713 1000 0.0284217 26 0.678644 0.005
0.1 0.9 713 1000 0.0355271 26 0.678642 0.001
