# Maze size:               2x2
# strategy               = random
# epsilon                = 0
# discount               = 0.5
# episodes               = 1000
# transitions            = 1000
# min training length    = 1
# max training length    = 1
# training length factor = 1.1
# training length incr.  = 10
# L1 coefficient         = 0.0001
# max tree size          = 100000
# feature complexity     = 2
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME
# 
# 
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
308 	1	0	0	0.018
340 	1	0	0	0.021
294 	1	0	0	0.021
302 	1	0	0	0.022
344 	1	0	0	0.018
313 	1	0	0	0.02
287 	1	0	0	0.022
300 	1	0	0	0.021
348 	1	0	0	0.022
310 	1	0	0	0.025
350 	1	0	0	0.025
315 	1	0	0	0.022
317 	1	0	0	0.021
329 	1	0	0	0.015
332 	1	0	0	0.028
321 	1	0	0	0.015
356 	1	0	0	0.018
322 	1	0	0	0.017
357 	1	0	0	0.02
345 	1	0	0	0.025
346 	1	0	0	0.029
360 	1	0	0	0.02
347 	1	0	0	0.027
323 	1	0	0	0.017
365 	1	0	0	0.021
366 	1	0	0	0.018
367 	1	0	0	0.011
353 	1	0	0	0.014
355 	1	0	0	0.019
325 	1	0	0	0.024
341 	1	0	0	0.022
333 	1	0	0	0.013
336 	1	0	0	0.019
359 	1	0	0	0.021
373 	1	0	0	0.02
361 	1	0	0	0.023
320 	1	0	0	0.015
364 	1	0	0	0.019
378 	1	0	0	0.014
380 	1	0	0	0.016
351 	1	0	0	0.02
370 	1	0	0	0.019
339 	1	0	0	0.015
368 	1	0	0	0.016
362 	1	0	0	0.02
385 	1	0	0	0.019
377 	1	0	0	0.023
374 	1	0	0	0.018
371 	1	0	0	0.02
338 	1	0	0	0.01
388 	1	0	0	0.022
376 	1	0	0	0.023
343 	1	0	0	0.021
316 	1	0	0	0.014
382 	1	0	0	0.02
383 	1	0	0	0.023
369 	1	0	0	0.023
395 	1	0	0	0.016
389 	1	0	0	0.014
400 	1	0	0	0.019
379 	1	0	0	0.021
401 	1	0	0	0.024
402 	1	0	0	0.013
392 	1	0	0	0.021
404 	1	0	0	0.025
394 	1	0	0	0.021
358 	1	0	0	0.022
405 	1	0	0	0.027
397 	1	0	0	0.027
387 	1	0	0	0.017
411 	1	0	0	0.022
412 	1	0	0	0.017
413 	1	0	0	0.024
414 	1	0	0	0.019
384 	1	0	0	0.023
416 	1	0	0	0.021
415 	1	0	0	0.019
349 	1	0	0	0.017
381 	1	0	0	0.025
407 	1	0	0	0.015
418 	1	0	0	0.02
422 	1	0	0	0.021
390 	1	0	0	0.012
342 	1	0	0	0.021
391 	1	0	0	0.022
425 	1	0	0	0.016
403 	1	0	0	0.017
427 	1	0	0	0.019
354 	1	0	0	0.019
419 	1	0	0	0.024
430 	1	0	0	0.016
375 	1	0	0	0.02
433 	1	0	0	0.023
363 	1	0	0	0.013
434 	1	0	0	0.016
436 	1	0	0	0.019
396 	1	0	0	0.022
352 	1	0	0	0.021
393 	1	0	0	0.021
437 	1	0	0	0.013
426 	1	0	0	0.017
441 	1	0	0	0.02
398 	1	0	0	0.024
424 	1	0	0	0.019
431 	1	0	0	0.018
406 	1	0	0	0.02
442 	1	0	0	0.016
421 	1	0	0	0.023
445 	1	0	0	0.021
372 	1	0	0	0.021
451 	1	0	0	0.02
438 	1	0	0	0.021
453 	1	0	0	0.024
454 	1	0	0	0.016
428 	1	0	0	0.019
456 	1	0	0	0.023
444 	1	0	0	0.017
457 	1	0	0	0.022
409 	1	0	0	0.017
459 	1	0	0	0.023
435 	1	0	0	0.018
461 	1	0	0	0.017
462 	1	0	0	0.019
410 	1	0	0	0.016
304 	1	0	0	0.013
408 	1	0	0	0.025
399 	1	0	0	0.023
466 	1	0	0	0.019
468 	1	0	0	0.018
432 	1	0	0	0.024
458 	1	0	0	0.018
447 	1	0	0	0.016
472 	1	0	0	0.013
449 	1	0	0	0.016
470 	1	0	0	0.016
439 	1	0	0	0.023
440 	1	0	0	0.02
463 	1	0	0	0.019
476 	1	0	0	0.019
478 	1	0	0	0.029
467 	1	0	0	0.022
446 	1	0	0	0.018
460 	1	0	0	0.021
429 	1	0	0	0.015
484 	1	0	0	0.01
479 	1	0	0	0.015
487 	1	0	0	0.02
488 	1	0	0	0.029
489 	1	0	0	0.023
490 	1	0	0	0.019
491 	1	0	0	0.012
492 	1	0	0	0.015
474 	1	0	0	0.011
452 	1	0	0	0.016
417 	1	0	0	0.023
493 	1	0	0	0.012
448 	1	0	0	0.016
386 	1	0	0	0.018
486 	1	0	0	0.024
500 	1	0	0	0.017
464 	1	0	0	0.019
475 	1	0	0	0.016
502 	1	0	0	0.022
503 	1	0	0	0.022
505 	1	0	0	0.014
506 	1	0	0	0.03
507 	1	0	0	0.021
508 	1	0	0	0.024
509 	1	0	0	0.022
420 	1	0	0	0.018
511 	1	0	0	0.023
497 	1	0	0	0.024
499 	1	0	0	0.019
512 	1	0	0	0.016
514 	1	0	0	0.024
516 	1	0	0	0.023
517 	1	0	0	0.018
469 	1	0	0	0.015
477 	1	0	0	0.022
519 	1	0	0	0.023
481 	1	0	0	0.02
521 	1	0	0	0.023
482 	1	0	0	0.014
473 	1	0	0	0.017
523 	1	0	0	0.024
513 	1	0	0	0.024
526 	1	0	0	0.021
504 	1	0	0	0.016
455 	1	0	0	0.014
529 	1	0	0	0.02
530 	1	0	0	0.018
465 	1	0	0	0.025
485 	1	0	0	0.02
532 	1	0	0	0.019
522 	1	0	0	0.013
534 	1	0	0	0.013
536 	1	0	0	0.016
524 	1	0	0	0.013
510 	1	0	0	0.021
450 	1	0	0	0.02
540 	1	0	0	0.017
538 	1	0	0	0.016
527 	1	0	0	0.017
537 	1	0	0	0.016
480 	1	0	0	0.026
545 	1	0	0	0.026
494 	1	0	0	0.021
547 	1	0	0	0.019
549 	1	0	0	0.024
483 	1	0	0	0.014
498 	1	0	0	0.02
515 	1	0	0	0.023
552 	1	0	0	0.026
554 	1	0	0	0.019
541 	1	0	0	0.014
520 	1	0	0	0.021
556 	1	0	0	0.023
531 	1	0	0	0.015
542 	1	0	0	0.023
543 	1	0	0	0.02
423 	1	0	0	0.016
558 	1	0	0	0.023
496 	1	0	0	0.023
560 	1	0	0	0.018
525 	1	0	0	0.014
563 	1	0	0	0.021
565 	1	0	0	0.019
567 	1	0	0	0.018
546 	1	0	0	0.023
570 	1	0	0	0.023
518 	1	0	0	0.021
471 	1	0	0	0.019
572 	1	0	0	0.025
573 	1	0	0	0.021
575 	1	0	0	0.023
562 	1	0	0	0.014
535 	1	0	0	0.017
544 	1	0	0	0.018
443 	1	0	0	0.02
577 	1	0	0	0.02
566 	1	0	0	0.023
528 	1	0	0	0.014
555 	1	0	0	0.019
582 	1	0	0	0.021
557 	1	0	0	0.025
583 	1	0	0	0.015
587 	1	0	0	0.017
574 	1	0	0	0.021
578 	1	0	0	0.021
550 	1	0	0	0.024
589 	1	0	0	0.027
592 	1	0	0	0.028
559 	1	0	0	0.024
591 	1	0	0	0.02
548 	1	0	0	0.013
569 	1	0	0	0.024
594 	1	0	0	0.019
596 	1	0	0	0.021
576 	1	0	0	0.024
551 	1	0	0	0.02
595 	1	0	0	0.023
495 	1	0	0	0.023
601 	1	0	0	0.023
593 	1	0	0	0.025
585 	1	0	0	0.02
561 	1	0	0	0.026
571 	1	0	0	0.022
586 	1	0	0	0.022
564 	1	0	0	0.016
606 	1	0	0	0.019
539 	1	0	0	0.018
588 	1	0	0	0.028
602 	1	0	0	0.021
501 	1	0	0	0.017
581 	1	0	0	0.017
616 	1	0	0	0.023
568 	1	0	0	0.013
553 	1	0	0	0.018
604 	1	0	0	0.025
618 	1	0	0	0.02
533 	1	0	0	0.028
620 	1	0	0	0.015
579 	1	0	0	0.017
608 	1	0	0	0.018
611 	1	0	0	0.027
612 	1	0	0	0.021
627 	1	0	0	0.028
628 	1	0	0	0.026
614 	1	0	0	0.021
607 	1	0	0	0.018
631 	1	0	0	0.026
617 	1	0	0	0.024
633 	1	0	0	0.019
610 	1	0	0	0.026
597 	1	0	0	0.019
632 	1	0	0	0.02
615 	1	0	0	0.02
613 	1	0	0	0.013
603 	1	0	0	0.023
580 	1	0	0	0.02
629 	1	0	0	0.031
609 	1	0	0	0.018
640 	1	0	0	0.018
619 	1	0	0	0.021
641 	1	0	0	0.023
623 	1	0	0	0.024
584 	1	0	0	0.018
590 	1	0	0	0.021
626 	1	0	0	0.017
635 	1	0	0	0.019
625 	1	0	0	0.025
605 	1	0	0	0.016
653 	1	0	0	0.017
639 	1	0	0	0.011
654 	1	0	0	0.021
655 	1	0	0	0.021
600 	1	0	0	0.026
656 	1	0	0	0.019
598 	1	0	0	0.021
659 	1	0	0	0.02
647 	1	0	0	0.019
661 	1	0	0	0.014
636 	1	0	0	0.015
662 	1	0	0	0.021
646 	1	0	0	0.022
665 	1	0	0	0.015
621 	1	0	0	0.021
667 	1	0	0	0.019
642 	1	0	0	0.02
669 	1	0	0	0.022
671 	1	0	0	0.022
672 	1	0	0	0.013
645 	1	0	0	0.024
663 	1	0	0	0.019
624 	1	0	0	0.016
664 	1	0	0	0.024
676 	1	0	0	0.017
630 	1	0	0	0.024
666 	1	0	0	0.02
680 	1	0	0	0.02
670 	1	0	0	0.022
643 	1	0	0	0.022
657 	1	0	0	0.017
681 	1	0	0	0.018
658 	1	0	0	0.023
685 	1	0	0	0.019
687 	1	0	0	0.013
673 	1	0	0	0.019
688 	1	0	0	0.02
650 	1	0	0	0.026
675 	1	0	0	0.016
690 	1	0	0	0.025
692 	1	0	0	0.021
644 	1	0	0	0.022
637 	1	0	0	0.023
695 	1	0	0	0.014
697 	1	0	0	0.014
634 	1	0	0	0.028
683 	1	0	0	0.025
649 	1	0	0	0.021
701 	1	0	0	0.023
691 	1	0	0	0.019
652 	1	0	0	0.021
668 	1	0	0	0.024
705 	1	0	0	0.025
694 	1	0	0	0.02
622 	1	0	0	0.02
696 	1	0	0	0.019
674 	1	0	0	0.022
710 	1	0	0	0.02
686 	1	0	0	0.017
699 	1	0	0	0.022
711 	1	0	0	0.023
712 	1	0	0	0.019
714 	1	0	0	0.017
679 	1	0	0	0.026
678 	1	0	0	0.021
716 	1	0	0	0.023
693 	1	0	0	0.025
682 	1	0	0	0.017
721 	1	0	0	0.017
684 	1	0	0	0.017
708 	1	0	0	0.012
707 	1	0	0	0.026
709 	1	0	0	0.027
726 	1	0	0	0.021
651 	1	0	0	0.027
638 	1	0	0	0.025
727 	1	0	0	0.016
698 	1	0	0	0.022
722 	1	0	0	0.018
660 	1	0	0	0.018
733 	1	0	0	0.018
702 	1	0	0	0.021
734 	1	0	0	0.02
599 	1	0	0	0.026
677 	1	0	0	0.02
736 	1	0	0	0.029
739 	1	0	0	0.023
718 	1	0	0	0.024
740 	1	0	0	0.024
729 	1	0	0	0.022
742 	1	0	0	0.019
731 	1	0	0	0.017
720 	1	0	0	0.024
743 	1	0	0	0.027
689 	1	0	0	0.017
747 	1	0	0	0.017
724 	1	0	0	0.029
728 	1	0	0	0.016
700 	1	0	0	0.02
732 	1	0	0	0.021
750 	1	0	0	0.02
738 	1	0	0	0.019
717 	1	0	0	0.018
706 	1	0	0	0.025
756 	1	0	0	0.023
757 	1	0	0	0.024
719 	1	0	0	0.017
725 	1	0	0	0.019
745 	1	0	0	0.022
759 	1	0	0	0.023
735 	1	0	0	0.018
763 	1	0	0	0.018
730 	1	0	0	0.022
704 	1	0	0	0.018
753 	1	0	0	0.015
715 	1	0	0	0.026
741 	1	0	0	0.024
767 	1	0	0	0.016
758 	1	0	0	0.02
761 	1	0	0	0.027
772 	1	0	0	0.022
