# Maze size:               2x2
# strategy               = linear-q
# epsilon                = 0
# discount               = 0.5
# episodes               = 100
# transitions            = 1000
# min training length    = 10
# max training length    = 10000
# training length factor = 1.1
# training length incr.  = 10
# L1 coefficient         = 0.0001
# max tree size          = 10000
# feature complexity     = 3
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME
# 
# 
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
12 	156	0	0	0.25
15 	156	0	0	0.001
17 	156	0	0	0.167
19 	156	0	0	0.125
16 	156	0	0	0
25 	156	0	0	0
20 	156	0	0	0
18 	156	0	0	0.001
21 	156	0	0	0.001
23 	156	0	0	0.001
22 	156	0	0	0.001
24 	156	0	0	0.002
26 	156	0	0	0.167
34 	156	0	0	0.1
28 	156	0	0	0.091
27 	156	0	0	0.001
29 	156	0	0	0.25
33 	156	0	0	0.077
31 	156	0	0	0.001
36 	156	0	0	0.143
30 	156	0	0	0
32 	156	0	0	0.25
39 	156	0	0	0.25
37 	156	0	0	0.167
35 	156	0	0	0.25
62 	156	0	0	0.018
38 	156	0	0	0.001
41 	156	0	0	0.091
46 	156	0	0	0.1
40 	156	0	0	0.166
42 	156	0	0	0.001
43 	156	0	0	0.001
47 	156	0	0	0
45 	156	0	0	0.2
49 	156	0	0	0
48 	156	0	0	0.143
44 	156	0	0	0.2
50 	156	0	0	0.002
51 	156	0	0	0
55 	156	0	0	0.199
52 	156	0	0	0.001
57 	156	0	0	0.001
54 	156	0	0	0.167
58 	156	0	0	0
65 	156	0	0	0.249
59 	156	0	0	0.001
56 	156	0	0	0.166
53 	156	0	0	0.125
64 	156	0	0	0
60 	156	0	0	0.143
66 	156	0	0	0.001
63 	156	0	0	0.142
69 	156	0	0	0
61 	156	0	0	0.125
67 	156	0	0	0.001
68 	156	0	0	0.249
73 	156	0	0	0.25
72 	156	0	0	0
70 	156	0	0	0.182
71 	156	0	0	0
74 	156	0	0	0.25
75 	156	0	0	0
76 	156	0	0	0.111
78 	156	0	0	0
81 	156	0	0	0.167
2 	181	0	0	0.021
79 	156	0	0	0.167
83 	156	0	0	0.001
84 	156	0	0	0.109
77 	156	0	0	0
80 	156	0	0	0
85 	156	0	0	0.2
82 	156	0	0	0.143
88 	156	0	0	0.12
86 	156	0	0	0.001
91 	156	0	0	0.001
93 	156	0	0	0.033
89 	156	0	0	0.2
92 	156	0	0	0.111
90 	156	0	0	0.167
87 	156	0	0	0.001
94 	156	0	0	0.143
98 	156	0	0	0.166
96 	156	0	0	0.167
95 	156	0	0	0.25
99 	156	0	0	0.168
100 	156	0	0	0.001
97 	156	0	0	0
5 	181	0	0	0
6 	181	0	0	0
3 	181	0	0	0.166
9 	181	0	0	0
13 	181	0	0	0
7 	181	0	0	0
8 	181	0	0	0.249
1 	181	0	0	0
10 	181	0	0	0.091
4 	181	0	0	0
16 	181	0	0	0.002
11 	181	0	0	0.002
12 	181	0	0	0
18 	181	0	0	0.001
17 	181	0	0	0
14 	181	0	0	0
15 	181	0	0	0.249
21 	181	0	0	0
19 	181	0	0	0.001
20 	181	0	0	0.134
22 	181	0	0	0
24 	181	0	0	0.143
23 	181	0	0	0
25 	181	0	0	0.142
26 	181	0	0	0
27 	181	0	0	0.25
39 	181	0	0	0.055
32 	181	0	0	0.249
33 	181	0	0	0
38 	181	0	0	0.001
29 	181	0	0	0.142
30 	181	0	0	0
31 	181	0	0	0.001
28 	181	0	0	0
34 	181	0	0	0.2
35 	181	0	0	0.1
37 	181	0	0	0
36 	181	0	0	0.2
43 	181	0	0	0.166
42 	181	0	0	0
41 	181	0	0	0.143
40 	181	0	0	0.25
45 	181	0	0	0.001
44 	181	0	0	0
46 	181	0	0	0.199
49 	181	0	0	0
50 	181	0	0	0.167
47 	181	0	0	0.249
48 	181	0	0	0
51 	181	0	0	0.143
52 	181	0	0	0.2
55 	181	0	0	0.001
53 	181	0	0	0.001
62 	181	0	0	0.166
54 	181	0	0	0.143
60 	181	0	0	0.166
58 	181	0	0	0
57 	181	0	0	0
56 	181	0	0	0.001
59 	181	0	0	0
64 	181	0	0	0.2
63 	181	0	0	0.167
66 	181	0	0	0.143
65 	181	0	0	0.002
61 	181	0	0	0.166
