# Maze size:               2x2
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 4
#     reward           : 5
#     activation       : ON_RELEASE
# Reward 1
#     ACTIVATION_STATE : 3
#     RECEIVE_STATE    : 0
#     TIME_DELAY       : 4
#     reward           : 5
#     activation       : ON_RELEASE
# Reward 2
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 1
#     TIME_DELAY       : 1
#     reward           : 1
#     activation       : ON_RELEASE
# Reward 3
#     ACTIVATION_STATE : 3
#     RECEIVE_STATE    : 2
#     TIME_DELAY       : 1
#     reward           : 1
#     activation       : ON_RELEASE
# 
# 
# epsilon                = 0
# discount               = 0.5
# episodes               = 100
# transitions            = 1000
# min training length    = 100
# max training length    = 100000
# training length factor = 1.5
# L1 coefficient         = 0.0001
# max tree size          = 100000
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
34 	337	0	11	0
43 	337	0	7	0.5
44 	337	0	9	0
35 	337	0	9	0
48 	337	0	9	0.5
37 	337	0	11	0
45 	337	0	11	0
40 	337	0	11	0.005
31 	337	0	11	0.135
46 	337	0	11	0.125
32 	337	0	13	1.5
38 	337	0	11	1.222
36 	337	0	11	0
52 	337	0	11	0.002
47 	337	0	11	0.5
33 	337	0	13	0.404
39 	337	0	13	0
50 	337	0	9	0.505
41 	337	0	13	0.25
53 	337	0	9	1.489
54 	337	0	9	0.5
51 	337	0	13	0.012
42 	337	0	11	0
57 	337	0	7	0.006
61 	337	0	7	0.005
59 	337	0	13	0.251
58 	337	0	9	0
55 	337	0	13	0.996
67 	337	0	7	0.5
56 	337	0	13	0.504
69 	337	0	11	0.5
62 	337	0	13	0.405
64 	337	0	11	0.333
63 	337	0	11	0.333
65 	337	0	11	0
78 	337	0	9	0.001
75 	337	0	11	0.005
73 	337	0	9	0.006
74 	337	0	9	0.5
60 	337	0	13	0.291
68 	337	0	9	1.168
70 	337	0	11	0.4
72 	337	0	11	0.505
79 	337	0	9	0
66 	337	0	11	0.172
76 	337	0	11	0.167
71 	337	0	11	0
82 	337	0	9	0.25
77 	337	0	13	0.399
81 	337	0	9	0.505
84 	337	0	9	0.5
95 	337	0	9	0.005
80 	337	0	11	0.13
83 	337	0	11	0.012
96 	337	0	7	0
89 	337	0	9	0.5
88 	337	0	13	0.406
93 	337	0	7	0.5
91 	337	0	11	0.111
85 	337	0	11	0.125
100 	337	0	11	1.001
90 	337	0	11	0.008
87 	337	0	11	0.13
98 	337	0	9	0.499
86 	337	0	13	0.125
94 	337	0	13	0.13
92 	337	0	13	0.25
97 	337	0	11	0
99 	337	0	11	0.255
1 	505	0	15	0.125
3 	505	0	15	0.334
2 	505	0	21	0.677
6 	505	0	17	1.08
24 	505	0	9	1.164
4 	505	0	15	0
9 	505	0	19	1.2
12 	505	0	17	0.148
10 	505	0	17	0.2
16 	505	0	15	0.334
15 	505	0	17	0.006
20 	505	0	17	0.136
8 	505	0	19	1.5
22 	505	0	15	1.2
11 	505	0	19	1.5
5 	505	0	17	0.25
14 	505	0	19	0.166
28 	505	0	15	0
29 	505	0	17	1.5
17 	505	0	17	0.381
13 	505	0	17	0
23 	505	0	21	0.077
18 	505	0	19	0.206
21 	505	0	19	0.007
7 	505	0	19	0.004
26 	505	0	19	0.173
34 	505	0	15	1.3
27 	505	0	19	1.495
25 	505	0	19	0.001
30 	505	0	17	0.333
33 	505	0	17	0.334
31 	505	0	15	0.876
35 	505	0	15	0.001
32 	505	0	15	1.495
36 	505	0	17	0.305
