# scale=100
# prob4=0.45*(1/5)^4
# prob3=0.60*(1/5)^3

# n_random_transitions	prob_3_steps	prob_4_steps
9000	.9999999999999999998439347829537436366274746325643447600520685955945874217540456407241023192552445782	.9984697649384049641583357597408949613290301256610899057809506951813763160189532571673962107486880145
10000	.9999999999999999999987303808410526882953580815701133446946797507502012408526779467486561068684644611	.9992553477632168485418302693017004524524704733169120065663456732590479854593427529264134063700069727
20000	.9999999999999999999999999999999999999999983880671912339208574805661973336680119442212553254555157037	.9999994454930462538493344811729295534255901775372837123263371889656705381008077325798415603312812471
30000	.9999999999999999999999999999999999999999999999999999999999999979534592230548327632726845092371820093	.9999999995870851565811174011369640138346000351608161438085980560047973445666335129297161429961525496
40000	.9999999999999999999999999999999999999999999999999999999999999999999999999999999999974016726200234990	.9999999999996925220382471643264117252584113187969065376417202363507913360027046593383109292153581194
50000	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	.9999999999999997710358480192266222201351277285665225256566493925888708979163947706176701096290323799
60000	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	.9999999999999999998295013320843596657346124029080762861227050521668089654223686525355139655434290147
70000	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	.9999999999999999999998730377855680706853233613016708219564391926576660303725148124410375959334197093
80000	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	.9999999999999999999999999054573030363217226672699064699094546558916262739111324580799887930367128352
90000	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	.9999999999999999999999999999295985692344853090131508059575053905870646187942482678542014961863131989
100000	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	.9999999999999999999999999999999475754171077253105045455306895700461833745372216879829611653878567892
